level,seed,controller,gates_passed,n_gates,lap_time,completed,crashed,truncated
0,1,lsy_state_ctrl,4,4,13.84,True,False,False
0,2,lsy_state_ctrl,4,4,13.86,True,False,False
0,3,lsy_state_ctrl,4,4,13.86,True,False,False
0,4,lsy_state_ctrl,4,4,13.84,True,False,False
0,5,lsy_state_ctrl,4,4,13.86,True,False,False
1,1,lsy_state_ctrl,4,4,13.86,True,False,False
1,2,lsy_state_ctrl,4,4,13.86,True,False,False
1,3,lsy_state_ctrl,4,4,13.86,True,False,False
1,4,lsy_state_ctrl,4,4,13.84,True,False,False
1,5,lsy_state_ctrl,4,4,13.86,True,False,False
2,1,lsy_state_ctrl,3,4,13.72,False,True,False
2,2,lsy_state_ctrl,0,4,3.94,False,True,False
2,3,lsy_state_ctrl,3,4,9.82,False,True,False
2,4,lsy_state_ctrl,0,4,3.9,False,True,False
2,5,lsy_state_ctrl,1,4,7.24,False,True,False
3,1,lsy_state_ctrl,0,4,0.34,False,True,False
3,2,lsy_state_ctrl,0,4,0.34,False,True,False
3,3,lsy_state_ctrl,0,4,0.48,False,True,False
3,4,lsy_state_ctrl,0,4,0.28,False,True,False
3,5,lsy_state_ctrl,0,4,0.34,False,True,False
