level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,1,4,4,8.08,False,completed,1.674,"[2.3, 4.0, 6.2, 8.04]","[6.39, 7.17, 20.17, 15.14]",0.023,0.197,2.2376
0,3,4,4,8.08,False,completed,1.699,"[2.3, 4.0, 6.2, 8.04]","[6.04, 10.23, 21.78, 20.06]",0.025,0.314,2.2376
0,2,4,4,8.08,False,completed,1.677,"[2.28, 4.0, 6.2, 8.04]","[6.15, 8.68, 22.06, 19.53]",0.026,0.459,2.2376
2,2,2,4,6.22,True,out_of_bounds,1.677,"[2.34, 3.9]","[9.08, 9.73]",0.024,0.266,0.25
3,1,1,4,4.64,True,out_of_bounds,1.605,[1.14],[16.66],0.024,0.289,0.125
1,1,4,4,8.06,False,completed,1.694,"[2.26, 3.98, 6.16, 8.02]","[4.55, 8.75, 20.97, 14.89]",0.025,0.261,2.2407
2,1,3,4,7.94,True,out_of_bounds,1.694,"[2.12, 4.1, 6.1]","[8.03, 13.68, 15.36]",0.024,0.177,0.375
1,3,4,4,8.1,False,completed,1.722,"[2.32, 4.06, 6.24, 8.06]","[6.07, 6.71, 21.97, 20.11]",0.026,0.231,2.2346
1,2,4,4,8.1,False,completed,1.677,"[2.3, 4.02, 6.22, 8.06]","[5.58, 8.58, 21.6, 19.26]",0.025,0.599,2.2346
2,3,3,4,7.9,True,out_of_bounds,1.722,"[2.24, 4.08, 6.2]","[6.43, 18.25, 21.12]",0.025,0.14,0.375
3,2,0,4,30.0,False,timeout,1.473,[],[],0.018,0.084,0.0
3,3,0,4,30.0,False,timeout,1.48,[],[],0.017,0.08,0.0
