level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,0,4,2.52,True,out_of_bounds,1.289,[],[],0.05,1.172,0.0
2,4,0,4,2.46,True,out_of_bounds,1.231,[],[],0.051,1.345,0.0
2,1,3,4,7.24,True,out_of_bounds,1.244,"[2.36, 4.54, 6.82]","[34.1, 9.33, 19.79]",0.05,1.134,0.375
0,5,3,4,9.14,True,out_of_bounds,1.267,"[2.54, 4.48, 6.94]","[25.14, 13.55, 18.15]",0.052,0.545,0.375
2,5,2,4,6.88,True,out_of_bounds,1.252,"[2.62, 4.6]","[24.41, 27.25]",0.049,0.368,0.25
0,3,3,4,9.14,True,out_of_bounds,1.243,"[2.54, 4.48, 6.92]","[22.64, 13.49, 16.4]",0.05,0.332,0.375
1,3,3,4,9.2,True,out_of_bounds,1.253,"[2.6, 4.54, 6.98]","[24.29, 13.03, 15.73]",0.051,1.228,0.375
0,1,3,4,9.16,True,out_of_bounds,1.246,"[2.54, 4.48, 6.94]","[23.61, 13.8, 18.6]",0.051,0.55,0.375
0,4,3,4,9.14,True,out_of_bounds,1.253,"[2.54, 4.48, 6.92]","[23.85, 12.27, 17.16]",0.05,1.035,0.375
1,2,3,4,9.16,True,out_of_bounds,1.289,"[2.54, 4.5, 6.96]","[26.5, 14.06, 20.61]",0.051,1.065,0.375
2,3,2,4,6.92,True,out_of_bounds,1.253,"[2.5, 4.56]","[34.4, 7.7]",0.047,0.856,0.25
0,2,3,4,9.14,True,out_of_bounds,1.277,"[2.52, 4.48, 6.94]","[25.42, 13.46, 19.57]",0.048,0.769,0.375
1,5,3,4,9.12,True,out_of_bounds,1.252,"[2.5, 4.46, 6.9]","[25.41, 13.72, 17.08]",0.049,1.013,0.375
3,1,1,4,2.52,True,out_of_bounds,1.177,[1.32],[18.0],0.045,0.322,0.125
1,1,3,4,9.12,True,out_of_bounds,1.244,"[2.5, 4.44, 6.9]","[22.7, 13.76, 18.42]",0.051,0.804,0.375
1,4,3,4,9.1,True,out_of_bounds,1.261,"[2.52, 4.46, 6.9]","[24.03, 11.62, 17.93]",0.048,0.959,0.375
3,3,0,4,30.0,False,timeout,1.114,[],[],0.029,0.11,0.0
3,2,0,4,30.0,False,timeout,1.11,[],[],0.029,0.092,0.0
3,5,0,4,30.0,False,timeout,1.106,[],[],0.029,0.104,0.0
3,4,0,4,30.0,False,timeout,1.16,[],[],0.029,0.101,0.0
